comment,emotion,polarity
vou fazer pro meu sasamento 🥰❤️,neutral,positivo
Onde envomtro esta essência  de lavanda alguem pode mim ajudar ?,neutral,negativo
Mas como líquido endureceu mulher 😅?,neutral,negativo
Demora quanto tempo pra virar vela,neutral,neutro
Eu coloquei Giovana baby kkkkkk borbulhou fervi até parar😊,joy,negativo
Eu quero fazer. Alguém fez e deu certo? realmente dá cheiro?,neutral,neutro
Já fiz a Minha!!😍😍😍⚡,joy,positivo
Arrasou!! Na explicação!!😍😍⚡😍,joy,negativo
"🕯🧡🙌<br>Deus lhe abençoe! Receita simples, fácil,  prática e barata. Amei irei fazer.<br><br>Gratidão!!!",anger,positivo
Quem quiser fazer colorido é só adicionar giz de cera da cor desejada ou gotas de corantes,neutral,neutro
Pode usar barbante?,neutral,negativo
Pode usar perfume?,neutral,neutro
Ja quero fazer❤,neutral,positivo
Vídeo perfeito. Explicação sem enrolação.,neutral,positivo
Essencias a óleo para vela como fazer,neutral,positivo
Onde consigo comprar essa essência ?  <br>Muito top seu vídeo 👏,neutral,positivo
Posso colocar óleo de coco?,neutral,negativo
Pode derreter no microondas?,neutral,negativo
Pode colocar aquela essência coala?,neutral,negativo
Verdade que tem q deixar 3 dias curando?,neutral,negativo
"Ameiii o seu canal! Já to super inscrita por aqui, ia amar ter você por aqui tbem! Like garantido c sucesso 💜",anger,positivo
Parabéns pelo vídeo,neutral,negativo
Gratidão adorei a maneira de prender o pavio.😮,neutral,positivo
"Gente não sei se é meu fogão que é muito forte, ou se é porque eu não usei essência, e coloquei cheirinho de banheiro. Mas espirrou tudo, e manchou o fogão tomem cuidado!",anger,negativo
Moça eu to procurando um para da no meu cha de bebe. O seu vídeo foi mais fácil 😮 chocada! Parabéns obrigada ❤ <br>Uma dúvida cimo faço para fazer colorido?,neutral,neutro
"Adorei esse vídeo, mto prático!!!",anger,positivo
No lugar do pavio posso colocar um barbante?,neutral,negativo
Acho interessante está arte se vc comprasse Serafina por quilo sai mas encontro falo porque eu comprava muito para outro fim eu não sei fazer vele perfumadas obrigado,anger,neutro
Posso usar óleo execial da Do terra?,neutral,negativo
Curto e grosso,neutral,neutro
Minha vela aromática estava no fim e o pavio acabou vou tentar derreter duas velas reutilizar dessa forma de der certo eu venho e dou o like e me inscrevo no seu canal ❤,neutral,negativo
Eu queria colorida como faço?,neutral,negativo
Onde comprar esses materiais ? Queria fazer para dar de lembrança no chá do meu bebê,neutral,negativo
Posso usar essência de umidificador?,neutral,negativo
Não é melhor usar parafina ?,neutral,negativo
"Achei muito fácil, barato e prático, mas fiquei com uma dúvida: não pode desenformar a vela? Tem que ficar no copo?",neutral,neutro
"Faça isso, em banho Maria. É mais seguro, e, de preferência,  fora da cozinha, num fogareiro ou mini fogão,  só pra isso.",disgust,neutro
"Adorei , prático e rápido",joy,positivo
Alguem sabe a quantidade média? Quantas gramas de parafina e quantos ml de essência?,neutral,negativo
AMEI! AGRADEÇO. HOJE MESMO FAREI MINHA VELA PERFUMADA. 👏👏👏👏👏👏👏👏,neutral,positivo
Obrigado pelo vídeo e parabéns pela praticidade. Vídeo curto e objetivo! 👏🏼👏🏼👏🏼,anger,positivo
"Enfim um vídeo q presta, Simples e objetivo. Valeu 👏👏👏",neutral,positivo
Boa tarde <br>Onde encontro essa essência?,neutral,neutro
Estava em busca desse vídeo. Obrigada!😊,neutral,positivo
Alguém ja tentou por desinfetante concentrado coala pro.cheiro e deu certo,neutral,negativo
"Gente fui testar usar essência de baunilha COMESTIVEL, NAO USEMMMM a comestível porque tem álcool e pipoca tudo",disgust,negativo
"Uma duvida , voce retira os pavis voce os lava ou somente solta um do outro .",neutral,negativo
"Obrigada  , gostei muito da explicação",neutral,positivo
Posso fazer a vela com essência a base de óleo?,neutral,negativo
Colocar corante alimentício seria uma boa?,neutral,neutro
Missão 6,neutral,positivo
Super fácil de fazer.<br>Vou fazer deve ficar muito bommm,anger,positivo
Quanto tempo dura uma vela assim,neutral,neutro
AMEI....❤ PARABÉNS PELO VÍDEO 👏👏,neutral,negativo
Curtir e comentei só pela praticidade e sem enrolação,disgust,negativo
Oii<br>Nessas 50 gotas vc usou o frasco inteiro de essência?,neutral,negativo
Quantas velas vc colocou? E quanto tempo dura esse potinho com a vela acesa?,neutral,neutro
Amei...e para fazer elas coloridas....o que devo usar?,neutral,neutro
Pra fazer colorida coloca o que?,neutral,neutro
"Maravilha, VC sabe onde compro e como faço vela de trança colorida?",neutral,positivo
E para fazer com cor? É  só adicionar  o corante também??,neutral,neutro
Boa tarde,neutral,positivo
"Fácil, rápido e prático ❤️ amei ❤️",anger,positivo
"Moça, como vc limpa a panela depois?",neutral,neutro
Nossa vc é 1000 adorei mulher obrigada por compartilhar e sem enrolação 👏👏👏👏,joy,positivo
Onde posso comprar está essência,neutral,positivo
"Muito prático, gostei do vídeo",disgust,positivo
quantas velas você usou?,neutral,neutro
É só derreter a vela?  da pra massagem com ela ?,fear,negativo
"Ola qual corante pode ser usado pra fazer essas velas , sera que elas sai tudo depois se ej fizer direto em taças",fear,neutro
Se colocar perfume funciona ou tem que ser essência mesmo ?,neutral,neutro
Amei mais facil❤❤❤❤❤,neutral,neutro
Muito bom. Explicacao clara e direto ao ponto. Sem enrolação.,fear,positivo
Da certo fazer em pote de plástico? Não tenho de vidro aqui,neutral,neutro
"a essência é base de água? ou óleo,",disgust,negativo
Foi o mais facil❤.,neutral,positivo
"Melhor vídeo de velas da internet, parabéns!",surprise,positivo
ganhei um monte de daquelas latinhas que só depois fiquei sabendo q era pra velas.<br>vou fazer uma pra cada quarto aqui em casa. kkkk<br>tenho essência de marshmallow,neutral,negativo
"Top. Gastei R$ 12,00 copo de vidro + pacotinho de vela ( o óleo essencial eu já tinha em casa ) Usei da marca Laszlo de cravo 👏👏",neutral,positivo
qual essência q usa? a marca,neutral,negativo
Será que serve com perfume ?,neutral,neutro
O pavio nao apaga quando entre em contato com a cera?,neutral,negativo
Vou tentar fazer nesse fim de semana. Obrigada pela dica!,neutral,positivo
Quando custa esse óleo de fragrância?,neutral,negativo
"Melhor vídeo, prático, simples e sem enrolação, me ajudou muito, gratidão 🙏",anger,positivo
"Bom dia, gostaria de saber o valor,  para eu vender.",neutral,positivo
Funciona com perfume ??,neutral,negativo
Amei a ideia  pode ser qualquer tipo de vidro? Ou só vidro próprio,neutral,negativo
"Quanto tempo a vela fico acesa por favor, vou curti aqui por que sua idéia é genial , vou compatilha sê me fala o tempo da vela , vou sê inscrito sê me responder aqui obrigado!!<br>Troca equivalente 😎😊 hoje é sexta-feira: 27/01/2023.",joy,negativo
Adorei sem enrolação fácil e rápido!!! Vou fazer com certeza,anger,positivo
"Gostei muito da sua explicação, clara e fácil.",disgust,positivo
"Fiz uma exercício certinho deus t abençoe e pra colorir a gor que eu queria lilas eu coloquei no meio,ao derreter giz de cera roxo ficou lindo muito obrigado por nos ensinar deu certinho amei",neutral,positivo
Provavelmente ngm vai responder mas pode usar essência para bolos/comidas etc??,neutral,neutro
"Parabéns pelo vídeo muito objetivo e útil. O recipiente que vc usou para derreter as velas comuns, como limpar depois? Consegue lavar normalmente ou não poderá mais ser utilizado para alimentos? Desculpe a ignorância. Obrigada 🙃",neutral,positivo
Pode usar o óleo ecensial no lugar da essência ou diminui a potência do cheiro ?,neutral,negativo
"Obrigada por compartilhar. <br>Já estava pagando 70,00 reais em uma vela aromatizada, ainda bem que vim olhar o YouTube",neutral,neutro
Melhor explicação! Muito pratico e fácil! Vou fazer 🥰,anger,positivo
Onde compra esses copinhos de vidro?,neutral,negativo
Eu posso colocar perfume?? 🥰,neutral,negativo
Não precisa coar ?,neutral,negativo
"Muito bom o vídeo, mas são quantas velas para cada pote de 150ml?",neutral,positivo
"Quero colocar naqueles potes d espinha Nestlé, mas não sei a quantidade de velas necessárias. Uma para cada pote?",neutral,neutro
"Show, direto ao ponto, sem complicação.",fear,positivo
Quando tempo demora pra endurecer?,neutral,neutro
Amei! Muito objetivo. Amo vídeos assim! 👏👏🥺,neutral,positivo
Onde compro esse tipo de essência? É específica?,neutral,negativo
PARABÉNS Deus Abençoe cada vez mais  sua inteligência.,fear,positivo
fui tentar fazer mas o pote estourou 🥲,neutral,negativo
Onde comora esses materiais,neutral,positivo
"Nossa, vídeo muito bom! Simples e fácil!!! Agradeço pela ajuda",anger,positivo
Olá se eu fazer com uma vela só quando eu coloco de essência,anger,negativo
"Que produto eu uso pra desenformar as velas,pois queria fazer com moldes",neutral,positivo
Pode ser qualquer essência??,neutral,negativo
Pode fazer em copinhos acrílicos??,neutral,neutro
"Muito didático o seu vídeo. Obrigada por compartilhar a sua técnica.♥️♥️<br>Se eu quiser coloridas, tem problema em usar corante líquido  alimentício  ou outro tipo de corante líquido?",neutral,positivo
Simples assim ... Amei muito,neutral,neutro
Amei muito prático,neutral,positivo
"A panela que você usou ficou danificada, com restos de cera, etc? Ou deu pra usar ela normalmente depois?",neutral,negativo
Por causa da praticidade me inscrevi.Parabens!!!,neutral,negativo
"Vídeo bom . Sem enrolação.<br>Aquelas velas muito trabalhadas ,irritam a gente e ninguém está muito a fim de fazer.<br>No fim das contas  tudo é vela e ponto final",anger,negativo
Amei! Gostaria de saber se posso usar um pouco de anilina para ficar azul?,neutral,neutro
Muito bom 👏👏👏👏,neutral,positivo
Será que tem uma validade essas velas? Quero fazer para lembrancinhas de casamento,neutral,neutro
O pavio mete-se sempre primeiro,fear,neutro
Por quanto vende esse vela?,neutral,negativo
"Nossa gostei muito, fácil e rápido e sem canseira obrigada",disgust,positivo
Pode colocar um óleo corporal?,disgust,negativo
Fica cheirosinha mêsmo?,neutral,negativo
Quantas velas para cada potinho?,neutral,negativo
Posso usar qual outra essência sem ser de vela??,neutral,negativo
"Melhor vídeo, amei vou fazer!",neutral,positivo
E qualquer essência ou tem qui ser só a base de óleo?,disgust,negativo
Amei de mais 🥰  <br>Posso colocar perfume?,neutral,neutro
Olá onde se encontra as essências?,neutral,negativo
Pode usar um potinho de plástico e desenformar depois?,neutral,negativo
Será q da p fazer em copo de acrílico?,neutral,negativo
Ameiiiiiiiiii o vídeo explicação clara e objetiva parabéns a trilha sonora maravilhosa . Sucessoooooo ❗,neutral,positivo
De que material são as velas que você derrete?,neutral,negativo
Pode ser no microondas?,neutral,negativo
"Foi uma das melhores explicações...Simples, prática e objetiva...Parabéns!",joy,positivo
Moça me tira uma dúvida a vela é derretida pura? Ou vc coloca água?,fear,negativo
"Que Prático, Parabéns ❤",neutral,positivo
"Se ao invés de essência colocar algumas gotas de perfume, da certo?",neutral,negativo
Muito bom,neutral,positivo
"Incompleto,,uma pena",neutral,negativo
Ola vc vai vender? Qual o preço?,neutral,negativo
"Que pedras são, onde encontrar?",neutral,negativo
Onde comprar pedrinhas vermelha?,neutral,negativo
Que bonito! Como as pedrinhas ficam grudadas? Você usa resina?,neutral,negativo
Que areia é esta ?,neutral,negativo
"Oi ,pode me informar onde encontro esses moldes?",neutral,neutro
Maravilhosas❤,neutral,positivo
"Lindo seu trabalho com velas, vc usa que tipo de parafina?",neutral,negativo
Lindíssima cascalho?,surprise,negativo
O cascalho e a areia coloca o que,neutral,negativo
Gostaria de saber como vc colocou dourado nessa areia dourada,neutral,neutro
Lindo!,joy,positivo
Lindas!!! Vc coloca resina no cascalho?,surprise,negativo
"📌Aprenda a fazer Velas Aromáticas Comigo e Construa um negócio de sucesso ↩️ <a href=""https://keumerces.com/"">https://keumerces.com/</a>",neutral,positivo
"Com a vela pronta e vedada assim, o cheiro dela dura quanto tempo?",neutral,neutro
"Oi, que dicas legais. Fiquei com uma dúvida, pra passar a vela da panela pro potinho, tem que esperar esfriar um pouco ou saindo do fogo já posso por no pote?",neutral,neutro
"Alguma dica pra vela que não isala cheiro quando esta queimando? Eu faço e coloco a essência mais ou menos em 50 a 55C°, porem a essência cheira bem fraco,pra sentir o cheiro vc precisa praticamente por bem perto. 😓",neutral,negativo
Onde comprar  esse  adesivo  de pavio,neutral,positivo
"Eu nao tenho termômetro, como faco pra saber o ° da essência?",neutral,negativo
Qual a proporção de essência pra cera?,neutral,neutro
"Esse sdesivo pra colocar no pavio, é dupla face? Onde comprou?",neutral,negativo
"Ótimo vídeo, adorei ❤",joy,positivo
Qual é o tamanho desse recipiente?,neutral,negativo
"Obrigada, Genial Parabéns,!!! traga mais ideias ❤",neutral,positivo
Você é de onde?,neutral,negativo
Petrópolis RJ,neutral,positivo
Qual nome do utensílio que vc usa que o pavio fica dentro,neutral,negativo
Prática e direta! Amei a mensagem,fear,positivo
"Boa noite, o que vem escrito na etiqueta de segurança?",neutral,neutro
O vem escrito na etiqueta de segurança?,neutral,negativo
Qual é o melhor soprador pra velas?,neutral,positivo
Ola onde encontro esses potes pfv?,neutral,negativo
Parabéns pelo trabalho. <br>Onde conseguir o pavio? Obrigado,neutral,neutro
Afinal a essencia é a hidrossoluvel ou a hipossolivel?,neutral,neutro
Quantas gramas é essa vela?,neutral,negativo
Qual a marca da essência?,neutral,neutro
Gostaria de saber o nome do utensílio de metal que ela utilizou para colocar as velas nos potes,neutral,neutro
Onde compra a embalagem?,neutral,negativo
"Pq minha vela não fica com essa cor,a minha não fica assim leitosa,será que está faltando algo",anger,negativo
O que é esse negócio tipo secador que ela usa nas Velas?,neutral,neutro
Poderia me esclarecer uma dúvida? As velas aromáticas elas tem alguma validade? Por exemplo posso fazer elas com quantos meses de antecedência de um evento?,neutral,neutro
E quando da bolha durante a queima?,neutral,negativo
Parabéns pelo seu lindo trabalho.,neutral,positivo
"Moça, qual é esse pavio ?",neutral,negativo
"Quantos ml de essência, por favor?",neutral,negativo
Amei! O potinho é mais ou menos de quantos ml? qual o tamanho do disco de madeira?,neutral,negativo
Ficou muito lindo,neutral,positivo
Quanto de essência? Gratidão,neutral,neutro
100 gramas de parafina<br>100 gramas de gordura vegetal <br>Uma colher de essência,neutral,negativo
Onde compra essa ecesia,neutral,positivo
Essa essência é  igual as de bolo?,neutral,negativo
"Darlene Por Favor ,que tipo de Essência , é para sabonete ou só para Velas Grata❤",fear,neutro
Gente essa moça arrasouuuu!!! Que linda que ficou.  Gratidão eterna.,neutral,positivo
Quanto de essência?,neutral,neutro
"Moça por gentileza, quais as medidas?",neutral,negativo
Quanto de cada?,neutral,neutro
"Moça, seu video me ajudou muuuito. Eu tava querendo saber o motivo de minhas velas nunca ficarem tão perfumadas como as q compro e descobri q é pq adiciono a essência com a parafina mt quente ainda, além de eu nunca ter adicionado gordura vegetal.",neutral,positivo
Alguém sabe a quantidade de essência e a quantidade de parafina?,neutral,negativo
Essa medida é só para uma vela?,neutral,negativo
Quanto de essência coloca?,neutral,neutro
Que trabalho lindo!,neutral,positivo
Vela com gordura vegetal tem validade de até 6 meses. É alimento incluído.  Não uso. Prefiro cera vegetal de côco,neutral,negativo
Incrível! Não queimou a forminha de silicone! Vou tentar fazer,disgust,negativo
Qual tipo de essência ?,neutral,neutro
Essa cera eu udei e jai ficiu perfumada,neutral,positivo
"Gnt, o copo não quebra?",neutral,negativo
Mais a gordura e a parafina agente derrete juntos na panela ja,neutral,negativo
quanto ficaria <br>essa vela no potinho ? e com o arranjo ?,neutral,negativo
Quanto te essência?,neutral,neutro
"Onde vende as forminhas, querida?",neutral,negativo
Esse suporte é madeira ? Como adquiriu ? <br>Ficou linda demais ❤,neutral,negativo
Mano que lindo isso!,surprise,positivo
"Oi, quais as medidas?",neutral,negativo
Q linda q ficou a sua vela!,surprise,negativo
"Oii, aonde vc consegue esse adesivo pra colar ?.",neutral,negativo
Você é doo Rio?,neutral,negativo
Qual cera vegetal você usou? De côco?,neutral,negativo
Fiz a vela e fui acender quando acendi ela ficou transparente em cima e branco em baixo,anger,negativo
Que tipo de essência? Fui buscar e achei lipossolúvel e hidrossolúvel. Dizia que tem que diluir… ou põe direto?,fear,negativo
"Se não tiver a panelinha, pode derreter a cera em banho Maria ou derrete normal em qualquer recipiente ?",neutral,negativo
"Nao tenho soprador, nem leiteira esmaltada, muito menos o termômetro mas vou fazer mesmo assim 50 velas para lembrancinhas (aniversário da minha filha). 😅  Na fé!",anger,positivo
Cada vez q derreter a parafina e por essencia é bom limpar para não misturar as essencias? ou é melhor por a essencia só no copo?,neutral,negativo
Olá! Quanto de cura ?<br>Essa vidro tem quantas ?,neutral,negativo
"A minha rachou na oarte de baixo...<br><br>Pode ter sido por falta de limpeza, do copo?",neutral,negativo
Onde compro os materiais?,neutral,negativo
Você vende? Qual é o seu contato para comprar suas velas?,neutral,negativo
Minha cola quente n segura o ilhós 😢,fear,negativo
Convinha que no vídeo tivesse mencionado de que cera vegetal se trata para não estarmos à procura da pergunta e resposta nos comentários. 🙂<br>Obrigada.,neutral,negativo
É cera de coco ?,neutral,negativo
"Pq ninguém nunca fala o nome da essência, e mais sobre?",neutral,negativo
Qual é o tempo de cura?,neutral,neutro
Meu sonho é fazer velas.. mas tenho medo de não conseguir!,neutral,neutro
Maravilhosa,neutral,positivo
"amo sua animação, e como explica tão bem !",joy,positivo
"Peter,  você além de ótimo professor é super carismático. Parabéns! <br>Amo ver seus vídeos.<br>Obrigada pelas aulas!",anger,positivo
Maravilhosa... Parabéns.❤,neutral,positivo
Perfeição ❤🎉,neutral,positivo
Este copo do meio não vai quebrar na medida q a vela vai queimando?,neutral,negativo
"Ameeeii! Estou aprendendo, quero fazer essa vela",surprise,positivo
Da pra usar cera de coco no lugar da cera de soja?,neutral,negativo
adorei as velas.,neutral,positivo
Amei essa aula…parabéns pelo conteúdo e pela simpatia…,neutral,positivo
"Estou encantada,nunca me interessei por velas,mas por acaso,eu vi seu canal e estou apaixonada,já quero fazer! Parabéns, Deus abençoe 🙏😊",anger,positivo
Perfeito. Obrigada Peter 👏👏🙌🙌,neutral,positivo
"Você é 1000, Peter! Gratidão ❤",joy,positivo
Parabéns você é ótimo explica muito bem,neutral,positivo
"Sensacional 🎉ameiii❤como sempre Piter. Vc é maravilhoso,  com uma himildade incrível e super interessado no nosso sucesso....parabéns 🎉🎉",neutral,positivo
Deca maravilha Peter,neutral,positivo
"Lindas, as minhas sempre dão bolhas",neutral,positivo
Parabéns pela aula! Sucesso !!!,joy,positivo
Adorei!! Obrigada,joy,positivo
Parabéns lindíssimo.<br>❤,neutral,positivo
Esse rapaz é fantástico ❤❤❤,joy,positivo
"Que incrível viu, parabéns 🎉 uma duvida, pode usar ou deve usar a gordura toda vez que for fazer a vela?",neutral,negativo
"Simplesmente amei, farei apra minha casa.",joy,negativo
"Eu não conhecia esse canal, mas amei o jeito desse rapaz, que pessoa carismática, educada e didática, já vou me inscrever🙏 espero que eu consiga fazer umas velinhas bonitinhas pra vender",neutral,positivo
"Cara você é top. Amei suas explicações, carisma e criatividade.❤❤❤",neutral,positivo
"Muito lindo,amei a aula super bem explicada...Parabéns tu és muito querido👏👏👏👏👏👏👏👏",neutral,positivo
"amei a aula, flores de tecido voce tem algum fornecedor que possa indicar?",neutral,negativo
"Que homem.educado,,explica bemmm...amando suas aulas ...quero aprender fazer essas artes lindas...boas dicas ...e obrigada",neutral,positivo
